index,id,miss_distance,name,est_diameter_min,est_diameter_max,relative_velocity,absolute_magnitude,hazardous
9220,3632243,9034404.550766405,(2013 EP89),0.0802703167,0.1794898848,44314.5753985424,22.6,False
9221,3632244,35280275.817012794,(2013 ER89),0.2424124811,0.5420507863,64023.5774841124,20.2,True
9222,3632245,36448962.08297832,(2013 ES89),0.4023045798,0.8995803882,31112.3471093803,19.1,False
9223,3632547,43475604.315487206,(2013 EV89),0.3503926411,0.7835017643,52228.9632733049,19.4,False
9224,3632548,7392326.326956352,(2013 EW89),0.0211132445,0.0472106499,62230.5401492074,25.5,False
9225,3632549,3952743.272406803,(2013 EY89),0.022108281,0.0494356193,42944.33519811,25.4,False
9226,3632550,5529189.170701103,(2013 EX89),0.0291443905,0.0651688382,37297.7076386174,24.8,False
9227,3632675,6588512.452355459,(2013 EV108),0.1925550782,0.4305662442,47624.5656957949,20.7,True
9228,3632676,42817739.61883701,(2013 EW108),0.2783267681,0.6223575734,54692.82055242,19.9,False
9229,3632677,46152586.94567173,(2013 EX108),0.0732073989,0.1636967205,67454.4182843419,22.8,False
9230,3632678,24614997.294588286,(2013 EZ108),0.1058168859,0.2366137501,41018.8199084633,22.0,False
9231,3632679,1454564.070548561,(2013 FG),0.0201629919,0.0450858206,33151.2967183186,25.6,False
9232,3632682,2728969.909580764,(2013 FK),0.0555334912,0.1241766613,31388.7297643142,23.4,False
9233,3633046,11304269.99667486,(2013 EN126),0.0319561887,0.0714562102,15610.3257302872,24.6,False
9234,3633047,13364008.150091564,(2013 EO126),0.2783267681,0.6223575734,82221.0371705959,19.9,True
9235,3633048,7352633.030436281,(2013 FX7),0.1272198785,0.2844722965,29241.9619627194,21.6,True
9236,3633049,30989277.698336206,(2013 FY7),0.0840533402,0.1879489824,37026.4888613606,22.5,False
9237,3633050,9302902.987359846,(2013 FZ7),0.0699125232,0.1563291544,41459.5341063547,22.9,False
9238,3633051,13747501.242651474,(2013 FA8),0.1638909515,0.3664713084,58955.3506394194,21.05,True
9239,3633052,1620597.061742501,(2013 FB8),0.0278326768,0.0622357573,28292.3224665304,24.9,False
9240,3633053,6107183.908633397,(2013 FC8),0.0766575574,0.1714115092,50558.0836889347,22.7,False
9241,3633054,3246799.106880292,(2013 FD8),0.0192555078,0.0430566244,33739.9732790584,25.7,False
9242,3633126,23325123.45467212,(2013 FL9),0.063760979,0.1425738833,66101.9829110644,23.1,False
9243,3633127,7626269.510593384,(2013 FM9),0.046190746,0.1032856481,33965.9245042851,23.8,False
9244,3633139,17496198.076786283,(2013 FQ10),0.0832827346,0.1862258558,33166.7219075428,22.52,False
9245,3633149,36467024.52980212,(2013 FD11),0.2968622513,0.6638041738,17343.6127812825,19.76,False
9246,3633184,14639947.965682749,(2013 FT13),0.0334622374,0.0748238376,19371.7573984892,24.5,False
9247,3633185,699207.100249996,(2013 FU13),0.0088014652,0.0196806745,21406.8680204004,27.4,False
9248,3633188,17702745.64184681,(2013 FW13),0.1214940408,0.2716689341,50528.8869294668,21.7,True
9249,3633189,13779136.808938883,(2013 FY13),0.2111324448,0.4721064988,30794.1190633862,20.5,False
9250,3633190,23024214.265548505,(2013 FX13),0.1529519353,0.3420109247,99225.4402098778,21.2,False
9251,3634119,6031776.708693977,(2013 FT16),0.0146067964,0.0326617897,18778.5924157811,26.3,False
9252,3634127,21697423.575820744,(2013 GF),0.1460679643,0.3266178974,30860.2854663485,21.3,False
9253,3634128,44445732.78431253,(2013 GG),0.0921626549,0.2060819612,49232.2902342678,22.3,False
9254,3634129,21253276.6402206,(2013 GH),0.0530340723,0.1185877909,21321.2455306043,23.5,False
9255,3634130,7374093.966871806,(2013 GJ),0.063760979,0.1425738833,52544.9051393832,23.1,False
9256,3634154,6912953.640746457,(2013 GM3),0.0146067964,0.0326617897,21548.2344352258,26.3,False
9257,3634155,49543053.53386991,(2013 GN3),0.0506471459,0.1132504611,19626.0002415276,23.6,False
9258,3634156,21016760.448018502,(2013 GO3),0.0667659413,0.1492931834,54060.9996906857,23.0,False
9259,3634185,15310646.828157896,(2013 GY7),0.2111324448,0.4721064988,63845.8776178261,20.5,True
9260,3634186,20765198.77915647,(2013 GZ7),0.04411182,0.0986370281,10268.9444053524,23.9,False
9261,3634225,31925403.319299884,(2013 GL8),0.4619074603,1.0328564805,120381.9734587864,18.8,False
9262,3634275,12536021.279269915,(2013 GF23),0.0483676488,0.1081533507,52284.9423466357,23.7,False
9263,3634276,2100360.467669262,(2013 GH23),0.0192555078,0.0430566244,38223.9467754502,25.7,False
9264,3634347,42890503.2299363,(2013 GC34),0.1925550782,0.4305662442,43799.6821351666,20.7,False
9265,3634348,35146556.33973353,(2013 GD34),0.1010543415,0.2259643771,1061.3627615482,22.1,False
9266,3634387,7920305.88933325,(2013 GQ38),0.0555334912,0.1241766613,27789.6303871389,23.4,False
9267,3634388,7201271.326750046,(2013 GR38),0.1160259082,0.2594418179,47987.9987345622,21.8,True
9268,3634389,36229197.69570117,(2013 GS38),0.2848098313,0.6368541435,60272.2318983847,19.85,False
9269,3634392,5475445.687109993,(2013 GV38),0.022108281,0.0494356193,44565.7788602089,25.4,False
9270,3634393,507519.016817637,(2013 GW38),0.0055533491,0.0124176661,37902.3638061733,28.4,False
9271,3634440,1135562.559906503,(2013 GA55),0.0080270317,0.0179489885,34544.1914663097,27.6,False
9272,3634441,3763668.903119936,(2013 GB55),0.0183888672,0.0411187571,29075.8135613161,25.8,False
9273,3634442,7616158.818871138,(2013 GC55),0.0334622374,0.0748238376,40544.7730049704,24.5,False
9274,3634443,910517.816611959,(2013 GD55),0.058150704,0.130028927,30601.048345317,23.3,False
9275,3634444,10294403.14253145,(2013 GE55),0.0732073989,0.1636967205,65413.3460640073,22.8,False
9276,3634612,1530852.342103133,(2013 GH66),0.0066765941,0.0149293183,7947.1588198074,28.0,False
9277,3634613,34641149.79443816,(2013 GR66),0.1529519353,0.3420109247,48016.1349102924,21.2,False
9278,3634614,2726357.182781214,(2013 GT66),0.0242412481,0.0542050786,38943.5228038112,25.2,False
9279,3634615,17139263.408243,(2013 GS66),0.1677084622,0.3750075218,58251.0778450351,21.0,True
9280,3634616,8434515.940162802,(2013 GU66),0.0319561887,0.0714562102,33516.056193863,24.6,False
9281,3634618,13046765.49152667,(2013 GV68),0.4212646106,0.9419763057,112454.2560365348,19.0,False
9282,3634619,24683072.179326463,(2013 GW68),0.1160259082,0.2594418179,33032.7711051291,21.8,False
9283,3634620,31137735.468009155,(2013 GX68),0.0667659413,0.1492931834,22169.4883983102,23.0,False
